feature,importance_mean
op1,559.6142028808594
op2,341.9810089111328
s2,928.5266845703125
s3,831.5922912597656
s4,1108.558935546875
s6,708.8880859375
s7,1252.7156982421875
s8,2097.53349609375
s9,2157.986962890625
s11,3797.132470703125
s12,1815.9723510742188
s13,1568.2275512695312
s14,3223.299035644531
s15,2406.9332763671873
s17,1686.7253540039062
s20,4115.579724121094
s21,1340.7956665039062
s1_slope_3,7253.909204101563
s2_rm_3,2526.022998046875
s2_rstd_3,2126.097705078125
s2_slope_3,1087.6549926757812
s3_rm_3,2428.0702392578123
s3_rstd_3,1384.3965942382813
s3_slope_3,1932.9254760742188
s4_rm_3,1357719.9
s4_rstd_3,2692.5610961914062
s4_slope_3,1602.3661376953125
s5_slope_3,0.0
s6_rm_3,876.746337890625
s6_rstd_3,0.0
s6_slope_3,213.03268127441407
s7_rm_3,3353.35517578125
s7_rstd_3,1464.3531982421875
s7_slope_3,1396.9038330078124
s8_rm_3,2835.4904052734373
s8_rstd_3,1456.4761962890625
s8_slope_3,1309.89228515625
s9_rm_3,14541.8193359375
s9_rstd_3,1008.8932006835937
s9_slope_3,1484.6141235351563
s10_slope_3,0.0
s11_rm_3,13866.4357421875
s11_rstd_3,2288.886181640625
s11_slope_3,2120.4874267578125
s12_rm_3,3769.039892578125
s12_rstd_3,1912.490576171875
s12_slope_3,901.22236328125
s13_rm_3,5249.512829589844
s13_rstd_3,2731.4766845703125
s13_slope_3,1393.13037109375
s14_rm_3,6578.80341796875
s14_rstd_3,1981.3327758789062
s14_slope_3,1468.22060546875
s15_rm_3,2350.2920654296877
s15_rstd_3,3070.2963134765623
s15_slope_3,1233.4528198242188
s16_slope_3,0.0
s17_rm_3,2224.7123046875
s17_rstd_3,1769.7906005859375
s17_slope_3,1184.5640502929687
s18_slope_3,0.0
s19_slope_3,0.0
s20_rm_3,2648.15009765625
s20_rstd_3,1447.5869506835938
s20_slope_3,2244.1539916992188
s21_rm_3,3763.687109375
s21_rstd_3,1365.3781005859375
s21_slope_3,917.5030639648437
s1_slope_5,3311.033447265625
s2_rm_5,87517.73671875
s2_rstd_5,3027.825927734375
s2_slope_5,1919.5376068115233
s3_rm_5,170208.2609375
s3_rstd_5,3383.164404296875
s3_slope_5,2402.5084838867188
s4_rm_5,2517623.95
s4_rstd_5,2537.6296875
s4_slope_5,1022.7384063720704
s5_slope_5,319.254296875
s6_rm_5,1997.327490234375
s6_rstd_5,1385.770849609375
s6_slope_5,6825.46298828125
s7_rm_5,4659.892822265625
s7_rstd_5,2328.6119384765625
s7_slope_5,1558.7967529296875
s8_rm_5,4550.057373046875
s8_rstd_5,3146.9611328125
s8_slope_5,2170.6326416015627
s9_rm_5,28043.95458984375
s9_rstd_5,2951.58203125
s9_slope_5,2144.150732421875
s10_slope_5,0.0
s11_rm_5,1738344.53125
s11_rstd_5,3220.821875
s11_slope_5,1656.6663696289063
s12_rm_5,4346.79990234375
s12_rstd_5,3255.696240234375
s12_slope_5,2186.55146484375
s13_rm_5,3609.3174072265624
s13_rstd_5,3476.753076171875
s13_slope_5,1975.0598022460938
s14_rm_5,14946.847265625
s14_rstd_5,2924.013525390625
s14_slope_5,2701.6376708984376
s15_rm_5,966824.4
s15_rstd_5,2193.2291015625
s15_slope_5,1154.0416320800782
s16_slope_5,397.18271484375
s17_rm_5,272272.6015625
s17_rstd_5,5344.65546875
s17_slope_5,1521.8247924804687
s18_slope_5,0.0
s19_slope_5,1097.329296875
s20_rm_5,127977.0787109375
s20_rstd_5,1955.0716552734375
s20_slope_5,2510.1750244140626
s21_rm_5,218232.3953125
s21_rstd_5,2477.0971069335938
s21_slope_5,2245.6892333984374
s1_slope_20,50267.4234375
s2_rm_20,36343.36796875
s2_rstd_20,11414.71357421875
s2_slope_20,7718.83740234375
s3_rm_20,149689.8015625
s3_rstd_20,8473.914453125
s3_slope_20,4924.984033203125
s4_rm_20,276256.7787109375
s4_rstd_20,6089.8642578125
s4_slope_20,2779.6495361328125
s5_slope_20,180631.6046875
s6_rm_20,11260.108984375
s6_rstd_20,11525.836181640625
s6_slope_20,6455.7888671875
s7_rm_20,29376.755078125
s7_rstd_20,5829.69990234375
s7_slope_20,5399.048779296875
s8_rm_20,65075.921875
s8_rstd_20,6648.649951171875
s8_slope_20,6007.688427734375
s9_rm_20,27479.065625
s9_rstd_20,9206.999609375
s9_slope_20,3343.7779296875
s10_slope_20,11232.497412109375
s11_rm_20,47487.6630859375
s11_rstd_20,9454.4865234375
s11_slope_20,3538.953857421875
s12_rm_20,17742.725
s12_rstd_20,8924.1130859375
s12_slope_20,3563.84384765625
s13_rm_20,18394.2974609375
s13_rstd_20,8094.9380859375
s13_slope_20,6722.721923828125
s14_rm_20,29017.168359375
s14_rstd_20,10426.9205078125
s14_slope_20,7072.667919921875
s15_rm_20,98007.46279296876
s15_rstd_20,12317.801171875
s15_slope_20,3570.982763671875
s16_slope_20,3000.70146484375
s17_rm_20,121071.89267578124
s17_rstd_20,8928.745751953125
s17_slope_20,2699.7390625
s18_slope_20,158771.1296875
s19_slope_20,7194.985168457031
s20_rm_20,18679.7390625
s20_rstd_20,7307.30126953125
s20_slope_20,6508.9779296875
s21_rm_20,106040.34453125
s21_rstd_20,7277.7896484375
s21_slope_20,6663.34736328125
s1_slope_50,721647.1875
s2_rm_50,37640.20625
s2_rstd_50,15643.1564453125
s2_slope_50,32774.69140625
s3_rm_50,35987.053515625
s3_rstd_50,21875.7453125
s3_slope_50,12751.119921875
s4_rm_50,26125.601953125
s4_rstd_50,35052.68515625
s4_slope_50,120058.30625
s5_slope_50,21586.220703125
s6_rm_50,42661.20390625
s6_rstd_50,35447.228125
s6_slope_50,25110.4396484375
s7_rm_50,39586.993359375
s7_rstd_50,24119.407421875
s7_slope_50,96073.77890625
s8_rm_50,27056.026171875
s8_rstd_50,16947.9318359375
s8_slope_50,39714.829296875
s9_rm_50,34747.62578125
s9_rstd_50,52811.790625
s9_slope_50,60073.29765625
s10_slope_50,8288.06064453125
s11_rm_50,22186.9609375
s11_rstd_50,45574.787890625
s11_slope_50,237544.025
s12_rm_50,33436.794921875
s12_rstd_50,23061.3408203125
s12_slope_50,203977.109375
s13_rm_50,42172.942578125
s13_rstd_50,16772.9771484375
s13_slope_50,42931.04921875
s14_rm_50,40803.524609375
s14_rstd_50,34718.535546875
s14_slope_50,29248.290625
s15_rm_50,18477.765234375
s15_rstd_50,25239.605859375
s15_slope_50,71043.83671875
s16_slope_50,193571.0046875
s17_rm_50,23648.6974609375
s17_rstd_50,13483.116015625
s17_slope_50,27435.597265625
s18_slope_50,22260.826953125
s19_slope_50,25712.3103515625
s20_rm_50,54044.202734375
s20_rstd_50,38631.43203125
s20_slope_50,92824.80625
s21_rm_50,18680.134765625
s21_rstd_50,18862.07578125
s21_slope_50,55986.28203125
s2_delta_start,8348.0587890625
s3_delta_start,8144.49033203125
s4_delta_start,18923.6646484375
s6_delta_start,19431.208203125
s7_delta_start,10541.31748046875
s8_delta_start,62972.73828125
s9_delta_start,109148.059375
s11_delta_start,370133.0
s12_delta_start,10002.6966796875
s13_delta_start,13079.68271484375
s14_delta_start,16682.407421875
s15_delta_start,34488.2125
s17_delta_start,10964.31005859375
s20_delta_start,81999.09609375
s21_delta_start,6358.53935546875
s2_last_wmean20,43643.160546875
s3_last_wmean20,105955.165625
s4_last_wmean20,530474.4625
s6_last_wmean20,6390.59287109375
s7_last_wmean20,28732.9890625
s8_last_wmean20,16553.111279296874
s9_last_wmean20,35417.1173828125
s11_last_wmean20,11857.72744140625
s12_last_wmean20,38832.79560546875
s13_last_wmean20,18875.6470703125
s14_last_wmean20,30090.2021484375
s15_last_wmean20,769572.3104492187
s17_last_wmean20,120287.50361328125
s20_last_wmean20,9526.600415039062
s21_last_wmean20,12679.115234375
s2_last_wmean50,35043.43359375
s3_last_wmean50,35778.316015625
s4_last_wmean50,30811.011328125
s6_last_wmean50,45341.5421875
s7_last_wmean50,25477.9966796875
s8_last_wmean50,20085.9052734375
s9_last_wmean50,31518.7859375
s11_last_wmean50,25874.04921875
s12_last_wmean50,44722.524609375
s13_last_wmean50,56011.5890625
s14_last_wmean50,45224.35
s15_last_wmean50,26691.3671875
s17_last_wmean50,15060.9939453125
s20_last_wmean50,73548.1203125
s21_last_wmean50,22710.5068359375
